Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
  Females: Medicine University Grad,192,196,178,181,189,156,147,115,127,124,123,119,94,97,96,83,94,86,77,66,60,42,37,41,42,40,53,48,66,61
  Females: Dentistry University Grad,34,33,35,33,39,33,28,32,30,27,21,26,25,19,17,15,14,12,18,11,11,16,15,14,12,10,13,8,6,11
  Females: Health Sciences University Grad,668,590,547,430,385,410,368,353,309,296,218,213,196,107,77,67,57,69,78,48,49,46,30,77,69,60,59,46,39,40
  Females: Information Technology University Grad,608,464,440,408,393,367,381,377,289,251,280,195,154,162,210,190,130,199,309,242,199,133,187,218,296,218,194,193,196,215
"  Females: Architecture, Building & Real Estate University Grad",365,313,318,369,398,303,274,351,258,258,241,247,178,179,243,208,214,234,185,235,224,199,192,167,153,163,136,156,182,144
  Females: Engineering Sciences University Grad,1505,1359,1405,1363,1346,1478,1385,1375,1251,1323,1213,1215,1020,1217,1386,1337,1199,1241,1179,1016,880,803,682,492,413,333,250,276,227,254
  Females: Services University Grad,95,142,125,91,108,124,95,188,219,345,135,50,35,36,43,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Education University Grad,346,335,329,308,431,393,420,416,525,589,642,406,329,348,225,262,391,364,412,361,226,210,150,202,189,232,245,113,0,0
Applied Arts University Grad,335,449,444,449,482,451,432,420,394,290,257,216,205,135,81,69,24,22,25,21,0,0,0,0,0,0,0,0,0,0
Humanities & Social Sciences University Grad,3671,3502,3657,3557,3464,3431,2563,2193,2422,2584,2231,2480,2177,1970,1681,1421,1483,1378,1376,1608,2200,2054,2026,2068,2094,1921,1861,1737,1645,1654
Mass Communication & Information Science University Grad,299,281,279,296,264,270,188,172,158,162,170,174,177,164,164,169,141,146,143,115,121,116,114,112,101,95,0,0,0,0
Accountancy University Grad,1233,1395,1468,1475,1348,1326,1103,1036,1122,1087,1036,839,934,942,831,835,644,706,621,746,767,741,745,779,751,680,695,684,649,691
Business & Administration University Grad,3308,2933,2593,2513,2373,2215,1720,1619,1477,1590,1397,1577,1533,1487,1465,1387,1251,1121,1067,977,1069,1210,1179,1254,1330,1256,1206,1153,1146,990
Law University Grad,434,415,394,372,403,375,351,355,356,368,347,329,229,210,209,207,204,187,147,140,150,154,153,169,173,187,181,194,186,185
Natural & Mathematical Sciences University Grad,1647,1645,1949,2024,2134,2080,1950,1935,1889,2127,1911,1836,1659,1520,1265,1254,1268,995,1190,1113,975,1112,1033,1075,1100,1037,990,1032,940,992
Medicine University Grad,421,397,386,375,355,301,278,252,261,258,252,255,228,219,227,227,229,209,199,194,182,139,156,145,148,147,150,141,165,156
Dentistry University Grad,60,58,51,52,53,56,53,51,45,48,42,42,41,31,35,36,32,34,32,32,34,35,32,32,36,30,37,28,29,25
Health Sciences University Grad,912,799,758,584,535,552,480,481,433,391,279,255,235,129,87,86,81,85,89,63,69,63,41,91,77,69,68,58,53,50
Information Technology University Grad,1972,1564,1508,1292,1347,1125,1051,1066,997,824,764,583,573,532,518,493,449,562,721,619,564,382,535,573,673,588,556,499,490,479
"Architecture, Building & Real Estate University Grad",646,615,572,654,669,576,459,539,404,401,396,368,275,314,391,339,380,372,322,410,358,323,293,271,294,298,278,296,318,276
Engineering Sciences University Grad,5247,5033,5122,4968,4860,5071,4668,4633,4539,4609,4093,4275,4137,4208,4536,4708,4133,4128,4201,3964,3497,3320,2949,2692,2365,2139,1951,1991,1893,1750
Services University Grad,240,300,283,220,236,269,179,342,354,481,189,74,64,49,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total University Grad,20807,19761,19818,19173,18997,18537,15895,15510,15376,15809,14006,13709,12796,12258,11772,11493,10710,10309,10545,10363,10212,9859,9406,9463,9331,8679,8218,7926,7514,7248
