Qualification,Faculty,Full-Time Permanent Employment Rate,Gross Monthly Salary ($) Mean,Gross Monthly Salary ($) Median,Gross Monthly Salary ($) 25th Percentile,Gross Monthly Salary ($) 75th Percentile,Institution,Year of Survey,Data Suppression,Sources,"(Charts) GROUP BY Qualification, Institution & Year of Survey",modified_qual
Bachelor of Arts,Faculty of Arts & Social Sciences,0.738,2763,2700,2405,3000,NUS,2011,No,NUS GES 2011,Bachelor of Arts | NUS 2011,Arts
Bachelor of Arts (Hons),Faculty of Arts & Social Sciences,0.873,3151,3200,2800,3500,NUS,2011,No,NUS GES 2011,Bachelor of Arts (Hons) | NUS 2011,Arts
Bachelor of Social Sciences (Hons),Faculty of Arts & Social Sciences,0.849,3088,3000,2700,3350,NUS,2011,No,NUS GES 2011,Bachelor of Social Sciences (Hons) | NUS 2011,Social Sciences (Hons)
Bachelor of Dental Surgery,Faculty of Dentistry,1,3136,3000,3000,3400,NUS,2011,No,NUS GES 2011,Bachelor of Dental Surgery | NUS 2011,Dental Surgery
Bachelor of Engineering (Bioengineering),Faculty of Engineering,0.795,3334,3250,2900,3800,NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Bioengineering) | NUS 2011,Bioengineering
Bachelor of Engineering (Chemical Engineering),Faculty of Engineering,0.839,3266,3184,3000,3515,NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Chemical Engineering) | NUS 2011,Chemical Engineering
Bachelor of Engineering (Civil Engineering),Faculty of Engineering,1,3126,3000,2900,3200,NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Civil Engineering) | NUS 2011,Civil Engineering
Bachelor of Engineering (Computer Engineering),Faculty of Engineering,0.951,3367,3000,2900,3980,NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Computer Engineering) | NUS 2011,Computer Engineering
Bachelor of Engineering (Electrical Engineering),Faculty of Engineering,0.884,3327,3100,2900,3600,NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Electrical Engineering) | NUS 2011,Electrical Engineering
Bachelor of Engineering (Engineering Science),Faculty of Engineering,0.783,3203,3170,2950,3250,NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Engineering Science) | NUS 2011,Engineering Science
Bachelor of Engineering (Environmental Engineering),Faculty of Engineering,0.884,3215,3000,2800,3300,NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Environmental Engineering) | NUS 2011,Environmental Engineering
Bachelor of Engineering (Industrial & Systems Engineering),Faculty of Engineering,0.911,3539,3500,2900,3950,NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Industrial & Systems Engineering) | NUS 2011,Industrial & Systems Engineering
Bachelor of Engineering (Materials Science & Engineering),Faculty of Engineering,0.917,3255,3000,2700,3500,NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Materials Science & Engineering) | NUS 2011,Materials Science & Engineering
Bachelor of Engineering (Mechanical Engineering),Faculty of Engineering,0.894,3143,3000,2800,3400,NUS,2011,No,NUS GES 2011,Bachelor of Engineering (Mechanical Engineering) | NUS 2011,Mechanical Engineering
Bachelor of Laws,Faculty of Law,1,5037,5000,5000,5075,NUS,2011,No,NUS GES 2011,Bachelor of Laws | NUS 2011,Laws
Bachelor of Applied Science,Faculty of Science,0.706,2647,2500,2400,2800,NUS,2011,No,NUS GES 2011,Bachelor of Applied Science | NUS 2011,Applied Science
Bachelor of Applied Science (Hons),Faculty of Science,0.903,2890,2800,2675,3150,NUS,2011,No,NUS GES 2011,Bachelor of Applied Science (Hons) | NUS 2011,Applied Science (Hons)
Bachelor of Science,Faculty of Science,0.672,2741,2600,2500,2900,NUS,2011,No,NUS GES 2011,Bachelor of Science | NUS 2011,Science
Bachelor of Science (Computational Biology),Faculty of Science,0,0,0,0,0,NUS,2011,Suppressed,NUS GES 2011,Bachelor of Science (Computational Biology) | NUS 2011,Computational Biology
Bachelor of Science (Hons),Faculty of Science,0.853,3138,3000,2800,3450,NUS,2011,No,NUS GES 2011,Bachelor of Science (Hons) | NUS 2011,Science
Bachelor of Science (Pharmacy) (Hons),Faculty of Science,0.989,3346,3300,3000,3500,NUS,2011,No,NUS GES 2011,Bachelor of Science (Pharmacy) (Hons) | NUS 2011,Pharmacy (Hons)
Bachelor of Business Administration,NUS Business School,0.881,3141,2975,2600,3500,NUS,2011,No,NUS GES 2011,Bachelor of Business Administration | NUS 2011,Administration
Bachelor of Business Administration (Hons),NUS Business School,0.892,3871,3300,2800,4200,NUS,2011,No,NUS GES 2011,Bachelor of Business Administration (Hons) | NUS 2011,Administration (Hons)
Bachelor of Business Administration (Accountancy),NUS Business School,0.955,2759,2700,2700,2800,NUS,2011,No,NUS GES 2011,Bachelor of Business Administration (Accountancy) | NUS 2011,Administration (Accountancy)
Bachelor of Business Administration (Accountancy) (Hons),NUS Business School,0.944,3393,3000,2700,3500,NUS,2011,No,NUS GES 2011,Bachelor of Business Administration (Accountancy) (Hons) | NUS 2011,Administration (Accountancy) (Hons)
Bachelor of Computing,School of Computing,0,0,0,0,0,NUS,2011,Suppressed,NUS GES 2011,Bachelor of Computing | NUS 2011,Computing
Bachelor of Computing (Communications & Media),School of Computing,0.816,3175,3000,2750,3300,NUS,2011,No,NUS GES 2011,Bachelor of Computing (Communications & Media) | NUS 2011,Communications & Media
Bachelor of Computing (Computational Biology),School of Computing,0,0,0,0,0,NUS,2011,Suppressed,NUS GES 2011,Bachelor of Computing (Computational Biology) | NUS 2011,Computational Biology
Bachelor of Computing (Computer Engineering),School of Computing,0.955,3421,3100,2800,3682,NUS,2011,No,NUS GES 2011,Bachelor of Computing (Computer Engineering) | NUS 2011,Computer Engineering
Bachelor of Computing (Computer Science),School of Computing,0.94,3376,3000,2875,3500,NUS,2011,No,NUS GES 2011,Bachelor of Computing (Computer Science) | NUS 2011,Computer Science
Bachelor of Computing (Electronic Commerce),School of Computing,0.972,3075,3000,2720,3500,NUS,2011,No,NUS GES 2011,Bachelor of Computing (Electronic Commerce) | NUS 2011,Electronic Commerce
Bachelor of Computing (Information Systems),School of Computing,0.981,3911,3400,3000,4000,NUS,2011,No,NUS GES 2011,Bachelor of Computing (Information Systems) | NUS 2011,Information Systems
Bachelor of Arts (Architecture),School of Design & Environment,0.986,3677,3500,3200,3900,NUS,2011,No,NUS GES 2011,Bachelor of Arts (Architecture) | NUS 2011,Architecture
Bachelor of Arts (Industrial Design),School of Design & Environment,0,0,0,0,0,NUS,2011,Suppressed,NUS GES 2011,Bachelor of Arts (Industrial Design) | NUS 2011,Industrial Design
Bachelor of Science (Project & Facilities Management),School of Design & Environment,0.967,2760,2770,2500,3000,NUS,2011,No,NUS GES 2011,Bachelor of Science (Project & Facilities Management) | NUS 2011,Project & Facilities Management
Bachelor of Science (Real Estate),School of Design & Environment,0.944,2888,2800,2500,3000,NUS,2011,No,NUS GES 2011,Bachelor of Science (Real Estate) | NUS 2011,Real Estate
Bachelor of Science (Nursing),Yong Loo Lin School of Medicine,0.956,2718,2750,2550,2800,NUS,2011,No,NUS GES 2011,Bachelor of Science (Nursing) | NUS 2011,Nursing
Bachelor of Science (Nursing) (Hons),Yong Loo Lin School of Medicine,0,0,0,0,0,NUS,2011,Suppressed,NUS GES 2011,Bachelor of Science (Nursing) (Hons) | NUS 2011,Nursing (Hons)
Bachelor of Medicine & Bachelor of Surgery (MBBS),Yong Loo Lin School of Medicine,1,4016,4000,3600,4500,NUS,2011,No,NUS GES 2011,Bachelor of Medicine & Bachelor of Surgery (MBBS) | NUS 2011,Medicine & Bachelor of Surgery (MBBS)
Bachelor of Music,Yong Siew Toh Conservatory of Music,0,0,0,0,0,NUS,2011,Suppressed,NUS GES 2011,Bachelor of Music | NUS 2011,Music
Accountancy,Nanyang Business School,0.963,2900,2700,2700,2900,NTU,2011,No,NTU GES 2011,Accountancy | NTU 2011,Accountancy
Business,Nanyang Business School,0.874,3245,3000,2700,3600,NTU,2011,No,NTU GES 2011,Business | NTU 2011,Business
Business & Computing,Nanyang Business School,0,0,0,0,0,NTU,2011,Suppressed,NTU GES 2011,Business & Computing | NTU 2011,Business & Computing
Aerospace Engineering,College of Engineering,0.889,3489,3500,3100,3900,NTU,2011,No,NTU GES 2011,Aerospace Engineering | NTU 2011,Aerospace Engineering
Bioengineering,College of Engineering,0.727,3094,3000,2800,3500,NTU,2011,No,NTU GES 2011,Bioengineering | NTU 2011,Bioengineering
Chemical & Biomolecular Engineering,College of Engineering,0.884,3276,3200,3000,3500,NTU,2011,No,NTU GES 2011,Chemical & Biomolecular Engineering | NTU 2011,Chemical & Biomolecular Engineering
Civil Engineering,College of Engineering,0.94,3115,3000,2800,3400,NTU,2011,No,NTU GES 2011,Civil Engineering | NTU 2011,Civil Engineering
Computer Engineering,College of Engineering,0.94,3577,3250,3000,3800,NTU,2011,No,NTU GES 2011,Computer Engineering | NTU 2011,Computer Engineering
Computer Science,College of Engineering,0.851,3425,3200,2900,3500,NTU,2011,No,NTU GES 2011,Computer Science | NTU 2011,Computer Science
Electrical & Electronic Engineering,College of Engineering,0.872,3243,3100,2900,3500,NTU,2011,No,NTU GES 2011,Electrical & Electronic Engineering | NTU 2011,Electrical & Electronic Engineering
Environmental Engineering,College of Engineering,0.848,3034,3000,2800,3300,NTU,2011,No,NTU GES 2011,Environmental Engineering | NTU 2011,Environmental Engineering
Information Engineering & Media,College of Engineering,0.906,3196,3200,2900,3500,NTU,2011,No,NTU GES 2011,Information Engineering & Media | NTU 2011,Information Engineering & Media
Materials Engineering,College of Engineering,0.836,3047,3000,2800,3300,NTU,2011,No,NTU GES 2011,Materials Engineering | NTU 2011,Materials Engineering
Mechanical Engineering,College of Engineering,0.868,3152,3000,2800,3385,NTU,2011,No,NTU GES 2011,Mechanical Engineering | NTU 2011,Mechanical Engineering
Maritime Studies,College of Engineering,0.981,2906,2800,2800,3000,NTU,2011,No,NTU GES 2011,Maritime Studies | NTU 2011,Maritime Studies
"Art, Design & Media","College of Humanities, Arts, & Social Sciences",0.558,2563,2500,2350,3000,NTU,2011,No,NTU GES 2011,"Art, Design & Media | NTU 2011","Art, Design & Media"
Chinese,"College of Humanities, Arts, & Social Sciences",0.877,3044,3100,2775,3300,NTU,2011,No,NTU GES 2011,Chinese | NTU 2011,Chinese
Communication Studies,"College of Humanities, Arts, & Social Sciences",0.803,2960,2900,2500,3200,NTU,2011,No,NTU GES 2011,Communication Studies | NTU 2011,Communication Studies
Economics,"College of Humanities, Arts, & Social Sciences",0.769,3209,3150,2800,3500,NTU,2011,No,NTU GES 2011,Economics | NTU 2011,Economics
English Literature,"College of Humanities, Arts, & Social Sciences",0.811,2976,3100,2775,3200,NTU,2011,No,NTU GES 2011,English Literature | NTU 2011,English Literature
Linguistics & Multilingual Studies,"College of Humanities, Arts, & Social Sciences",0,0,0,0,0,NTU,2011,Suppressed,NTU GES 2011,Linguistics & Multilingual Studies | NTU 2011,Linguistics & Multilingual Studies
Psychology,"College of Humanities, Arts, & Social Sciences",0.844,3125,3200,2950,3450,NTU,2011,No,NTU GES 2011,Psychology | NTU 2011,Psychology
Sociology,"College of Humanities, Arts, & Social Sciences",0.845,3055,3150,2675,3403,NTU,2011,No,NTU GES 2011,Sociology | NTU 2011,Sociology
Biological Sciences,College of Science,0.718,2981,3000,2600,3250,NTU,2011,No,NTU GES 2011,Biological Sciences | NTU 2011,Biological Sciences
Biomedical Sciences,College of Science,0,0,0,0,0,NTU,2011,Suppressed,NTU GES 2011,Biomedical Sciences | NTU 2011,Biomedical Sciences
Chemistry & Biological Chemistry,College of Science,0.751,2956,2950,2600,3200,NTU,2011,No,NTU GES 2011,Chemistry & Biological Chemistry | NTU 2011,Chemistry & Biological Chemistry
Mathematical Sciences,College of Science,0.821,3125,3100,2800,3200,NTU,2011,No,NTU GES 2011,Mathematical Sciences | NTU 2011,Mathematical Sciences
Physics & Applied Physics,College of Science,0.879,3024,3000,2700,3300,NTU,2011,No,NTU GES 2011,Physics & Applied Physics | NTU 2011,Physics & Applied Physics
Mathematical Sciences & Economics,College of Science,0.914,3226,3200,2800,3500,NTU,2011,No,NTU GES 2011,Mathematical Sciences & Economics | NTU 2011,Mathematical Sciences & Economics
Arts (with Education),National Institute of Education (NIE),1,3407,3300,3300,3500,NTU,2011,No,NTU GES 2011,Arts (with Education) | NTU 2011,Arts (with Education)
Science (with Education),National Institute of Education (NIE),1,3381,3300,3300,3600,NTU,2011,No,NTU GES 2011,Science (with Education) | NTU 2011,Science (with Education)
Accountancy (4-year programme),School of Accountancy,0.969,3267,2900,2700,3600,SMU,2011,No,SMU GES 2011,Accountancy (4-year programme) | SMU 2011,Accountancy (4-year programme)
Accountancy (4-year programme) (cum laude & above),School of Accountancy,0.986,3671,3225,2925,4125,SMU,2011,No,SMU GES 2011,Accountancy (4-year programme) (cum laude & above) | SMU 2011,Accountancy (4-year programme) (cum laude & above)
Business Management (4-year programme),School of Business,0.873,3369,3020,2600,3800,SMU,2011,No,SMU GES 2011,Business Management (4-year programme) | SMU 2011,Business Management (4-year programme)
Business Management (4-year programme) (cum laude & above),School of Business,0.915,3777,3500,3000,4100,SMU,2011,No,SMU GES 2011,Business Management (4-year programme) (cum laude & above) | SMU 2011,Business Management (4-year programme) (cum laude & above)
Economics (4-year programme),School of Economics,0.889,3559,3200,2800,3864,SMU,2011,No,SMU GES 2011,Economics (4-year programme) | SMU 2011,Economics (4-year programme)
Economics (4-year programme) (cum laude & above),School of Economics,0.92,3999,3500,3175,4275,SMU,2011,No,SMU GES 2011,Economics (4-year programme) (cum laude & above) | SMU 2011,Economics (4-year programme) (cum laude & above)
Information Systems Management (4-year programme),School of Information Systems,0.946,3637,3215,2893,4150,SMU,2011,No,SMU GES 2011,Information Systems Management (4-year programme) | SMU 2011,Information Systems Management (4-year programme)
Information Systems Management (4-year programme) (cum laude & above),School of Information Systems,0.96,4294,4200,3150,4783,SMU,2011,No,SMU GES 2011,Information Systems Management (4-year programme) (cum laude & above) | SMU 2011,Information Systems Management (4-year programme) (cum laude & above)
Social Sciences (4-year programme),School of Social Sciences,0.885,3043,3000,2550,3500,SMU,2011,No,SMU GES 2011,Social Sciences (4-year programme) | SMU 2011,Social Sciences (4-year programme)
Social Sciences (4-year programme) (cum laude & above),School of Social Sciences,0.875,3450,3500,3100,3700,SMU,2011,No,SMU GES 2011,Social Sciences (4-year programme) (cum laude & above) | SMU 2011,Social Sciences (4-year programme) (cum laude & above)
Bachelor of Arts,Faculty of Arts & Social Sciences,0.737,2627,2550,2300,2900,NUS,2010,No,NUS GES 2010,Bachelor of Arts | NUS 2010,Arts
Bachelor of Arts (Hons),Faculty of Arts & Social Sciences,0.76,3021,3000,2725,3200,NUS,2010,No,NUS GES 2010,Bachelor of Arts (Hons) | NUS 2010,Arts
Bachelor of Social Sciences (Hons),Faculty of Arts & Social Sciences,0.809,3062,3000,2600,3335,NUS,2010,No,NUS GES 2010,Bachelor of Social Sciences (Hons) | NUS 2010,Social Sciences (Hons)
Bachelor of Dental Surgery,Faculty of Dentistry,1,3116,3000,3000,3400,NUS,2010,No,NUS GES 2010,Bachelor of Dental Surgery | NUS 2010,Dental Surgery
Bachelor of Engineering (Bioengineering),Faculty of Engineering,0.756,2804,2700,2500,3000,NUS,2010,No,NUS GES 2010,Bachelor of Engineering (Bioengineering) | NUS 2010,Bioengineering
Bachelor of Engineering (Chemical Engineering),Faculty of Engineering,0.829,3259,3100,2850,3500,NUS,2010,No,NUS GES 2010,Bachelor of Engineering (Chemical Engineering) | NUS 2010,Chemical Engineering
Bachelor of Engineering (Civil Engineering),Faculty of Engineering,0.935,2757,2700,2600,2800,NUS,2010,No,NUS GES 2010,Bachelor of Engineering (Civil Engineering) | NUS 2010,Civil Engineering
Bachelor of Engineering (Computer Engineering),Faculty of Engineering,0.918,3140,3000,2800,3500,NUS,2010,No,NUS GES 2010,Bachelor of Engineering (Computer Engineering) | NUS 2010,Computer Engineering
Bachelor of Engineering (Electrical Engineering),Faculty of Engineering,0.885,3235,3000,2800,3500,NUS,2010,No,NUS GES 2010,Bachelor of Engineering (Electrical Engineering) | NUS 2010,Electrical Engineering
Bachelor of Engineering (Engineering Science),Faculty of Engineering,0.75,2571,2750,2500,3000,NUS,2010,No,NUS GES 2010,Bachelor of Engineering (Engineering Science) | NUS 2010,Engineering Science
Bachelor of Engineering (Environmental Engineering),Faculty of Engineering,0.826,2895,2800,2700,3200,NUS,2010,No,NUS GES 2010,Bachelor of Engineering (Environmental Engineering) | NUS 2010,Environmental Engineering
Bachelor of Engineering (Industrial & Systems Engineering),Faculty of Engineering,0.904,3357,3000,2800,3750,NUS,2010,No,NUS GES 2010,Bachelor of Engineering (Industrial & Systems Engineering) | NUS 2010,Industrial & Systems Engineering
Bachelor of Engineering (Materials Science & Engineering),Faculty of Engineering,0.774,3107,3000,2800,3200,NUS,2010,No,NUS GES 2010,Bachelor of Engineering (Materials Science & Engineering) | NUS 2010,Materials Science & Engineering
Bachelor of Engineering (Mechanical Engineering),Faculty of Engineering,0.852,3067,3000,2700,3200,NUS,2010,No,NUS GES 2010,Bachelor of Engineering (Mechanical Engineering) | NUS 2010,Mechanical Engineering
Bachelor of Laws,Faculty of Law,1,4770,5000,4250,5000,NUS,2010,No,NUS GES 2010,Bachelor of Laws | NUS 2010,Laws
Bachelor of Applied Science,Faculty of Science,0.625,2427,2400,2200,2800,NUS,2010,No,NUS GES 2010,Bachelor of Applied Science | NUS 2010,Applied Science
Bachelor of Applied Science (Hons),Faculty of Science,0.895,2944,3000,2800,3100,NUS,2010,No,NUS GES 2010,Bachelor of Applied Science (Hons) | NUS 2010,Applied Science (Hons)
Bachelor of Science,Faculty of Science,0.714,2653,2500,2400,2900,NUS,2010,No,NUS GES 2010,Bachelor of Science | NUS 2010,Science
Bachelor of Science (Computational Biology),Faculty of Science,0,0,0,0,0,NUS,2010,Suppressed,NUS GES 2010,Bachelor of Science (Computational Biology) | NUS 2010,Computational Biology
Bachelor of Science (Hons),Faculty of Science,0.772,3049,3000,2600,3300,NUS,2010,No,NUS GES 2010,Bachelor of Science (Hons) | NUS 2010,Science
Bachelor of Science (Pharmacy) (Hons),Faculty of Science,0.923,3298,3200,3100,3300,NUS,2010,No,NUS GES 2010,Bachelor of Science (Pharmacy) (Hons) | NUS 2010,Pharmacy (Hons)
Bachelor of Business Administration,NUS Business School,0.809,3008,2650,2400,3000,NUS,2010,No,NUS GES 2010,Bachelor of Business Administration | NUS 2010,Administration
Bachelor of Business Administration (Hons),NUS Business School,0.896,3232,3100,2600,3600,NUS,2010,No,NUS GES 2010,Bachelor of Business Administration (Hons) | NUS 2010,Administration (Hons)
Bachelor of Business Administration (Accountancy),NUS Business School,0.857,2692,2600,2600,2600,NUS,2010,No,NUS GES 2010,Bachelor of Business Administration (Accountancy) | NUS 2010,Administration (Accountancy)
Bachelor of Business Administration (Accountancy) (Hons),NUS Business School,1,3081,2600,2600,3375,NUS,2010,No,NUS GES 2010,Bachelor of Business Administration (Accountancy) (Hons) | NUS 2010,Administration (Accountancy) (Hons)
Bachelor of Computing,School of Computing,0.889,2935,2880,2750,3200,NUS,2010,No,NUS GES 2010,Bachelor of Computing | NUS 2010,Computing
Bachelor of Computing (Communications & Media),School of Computing,0.9,2993,2800,2550,3494,NUS,2010,No,NUS GES 2010,Bachelor of Computing (Communications & Media) | NUS 2010,Communications & Media
Bachelor of Computing (Computational Biology),School of Computing,0,0,0,0,0,NUS,2010,Suppressed,NUS GES 2010,Bachelor of Computing (Computational Biology) | NUS 2010,Computational Biology
Bachelor of Computing (Computer Engineering),School of Computing,0.872,3163,3000,2700,3700,NUS,2010,No,NUS GES 2010,Bachelor of Computing (Computer Engineering) | NUS 2010,Computer Engineering
Bachelor of Computing (Computer Science),School of Computing,0.929,3289,3000,2800,3400,NUS,2010,No,NUS GES 2010,Bachelor of Computing (Computer Science) | NUS 2010,Computer Science
Bachelor of Computing (Electronic Commerce),School of Computing,0.875,3049,3000,2700,3500,NUS,2010,No,NUS GES 2010,Bachelor of Computing (Electronic Commerce) | NUS 2010,Electronic Commerce
Bachelor of Computing (Information Systems),School of Computing,0.9,3384,3200,2900,3700,NUS,2010,No,NUS GES 2010,Bachelor of Computing (Information Systems) | NUS 2010,Information Systems
Bachelor of Arts (Architecture),School of Design & Environment,0.977,3445,3500,3100,3700,NUS,2010,No,NUS GES 2010,Bachelor of Arts (Architecture) | NUS 2010,Architecture
Bachelor of Arts (Industrial Design),School of Design & Environment,0,0,0,0,0,NUS,2010,Suppressed,NUS GES 2010,Bachelor of Arts (Industrial Design) | NUS 2010,Industrial Design
Bachelor of Science (Building),School of Design & Environment,0,0,0,0,0,NUS,2010,Suppressed,NUS GES 2010,Bachelor of Science (Building) | NUS 2010,Building
Bachelor of Science (Project & Facilities Management),School of Design & Environment,0.89,2657,2500,2425,2800,NUS,2010,No,NUS GES 2010,Bachelor of Science (Project & Facilities Management) | NUS 2010,Project & Facilities Management
Bachelor of Science (Real Estate),School of Design & Environment,0.885,2762,2650,2400,3000,NUS,2010,No,NUS GES 2010,Bachelor of Science (Real Estate) | NUS 2010,Real Estate
Bachelor of Science (Nursing),Yong Loo Lin School of Medicine,0.939,2655,2600,2550,2800,NUS,2010,No,NUS GES 2010,Bachelor of Science (Nursing) | NUS 2010,Nursing
Bachelor of Medicine & Bachelor of Surgery (MBBS),Yong Loo Lin School of Medicine,1,3852,3700,3600,4000,NUS,2010,No,NUS GES 2010,Bachelor of Medicine & Bachelor of Surgery (MBBS) | NUS 2010,Medicine & Bachelor of Surgery (MBBS)
Bachelor of Music,Yong Siew Toh Conservatory of Music,0,0,0,0,0,NUS,2010,Suppressed,NUS GES 2010,Bachelor of Music | NUS 2010,Music
Bachelor of Arts,Faculty of Arts & Social Sciences,0.759,2511,2500,2200,2600,NUS,2009,No,NUS GES 2009,Bachelor of Arts | NUS 2009,Arts
Bachelor of Arts (Hons),Faculty of Arts & Social Sciences,0.803,2689,2750,2500,2900,NUS,2009,No,NUS GES 2009,Bachelor of Arts (Hons) | NUS 2009,Arts
Bachelor of Social Sciences (Hons),Faculty of Arts & Social Sciences,0.812,2845,2750,2500,3150,NUS,2009,No,NUS GES 2009,Bachelor of Social Sciences (Hons) | NUS 2009,Social Sciences (Hons)
Bachelor of Dental Surgery,Faculty of Dentistry,1,3176,3000,3000,3400,NUS,2009,No,NUS GES 2009,Bachelor of Dental Surgery | NUS 2009,Dental Surgery
Bachelor of Engineering (Bioengineering),Faculty of Engineering,0.838,2903,2900,2500,3100,NUS,2009,No,NUS GES 2009,Bachelor of Engineering (Bioengineering) | NUS 2009,Bioengineering
Bachelor of Engineering (Chemical Engineering),Faculty of Engineering,0.845,2989,3000,2500,3500,NUS,2009,No,NUS GES 2009,Bachelor of Engineering (Chemical Engineering) | NUS 2009,Chemical Engineering
Bachelor of Engineering (Civil Engineering),Faculty of Engineering,0.929,2801,2800,2550,3000,NUS,2009,No,NUS GES 2009,Bachelor of Engineering (Civil Engineering) | NUS 2009,Civil Engineering
Bachelor of Engineering (Computer Engineering),Faculty of Engineering,0.878,3103,2900,2700,3440,NUS,2009,No,NUS GES 2009,Bachelor of Engineering (Computer Engineering) | NUS 2009,Computer Engineering
Bachelor of Engineering (Electrical Engineering),Faculty of Engineering,0.897,2912,2900,2500,3150,NUS,2009,No,NUS GES 2009,Bachelor of Engineering (Electrical Engineering) | NUS 2009,Electrical Engineering
Bachelor of Engineering (Environmental Engineering),Faculty of Engineering,0.632,2667,2650,2350,3000,NUS,2009,No,NUS GES 2009,Bachelor of Engineering (Environmental Engineering) | NUS 2009,Environmental Engineering
Bachelor of Engineering (Industrial & Systems Engineering),Faculty of Engineering,0.925,3099,3000,2650,3450,NUS,2009,No,NUS GES 2009,Bachelor of Engineering (Industrial & Systems Engineering) | NUS 2009,Industrial & Systems Engineering
Bachelor of Engineering (Materials Science & Engineering),Faculty of Engineering,0.938,2880,2900,2500,3000,NUS,2009,No,NUS GES 2009,Bachelor of Engineering (Materials Science & Engineering) | NUS 2009,Materials Science & Engineering
Bachelor of Engineering (Mechanical Engineering),Faculty of Engineering,0.854,2966,2900,2600,3200,NUS,2009,No,NUS GES 2009,Bachelor of Engineering (Mechanical Engineering) | NUS 2009,Mechanical Engineering
Bachelor of Applied Science,Faculty of Science,0.769,2393,2500,2250,2500,NUS,2009,No,NUS GES 2009,Bachelor of Applied Science | NUS 2009,Applied Science
Bachelor of Applied Science (Hons),Faculty of Science,0.947,2674,2600,2400,3000,NUS,2009,No,NUS GES 2009,Bachelor of Applied Science (Hons) | NUS 2009,Applied Science (Hons)
Bachelor of Science,Faculty of Science,0.765,2525,2500,2300,2600,NUS,2009,No,NUS GES 2009,Bachelor of Science | NUS 2009,Science
Bachelor of Science (Computational Biology),Faculty of Science,0,0,0,0,0,NUS,2009,Suppressed,NUS GES 2009,Bachelor of Science (Computational Biology) | NUS 2009,Computational Biology
Bachelor of Science (Hons),Faculty of Science,0.814,2932,2900,2500,3200,NUS,2009,No,NUS GES 2009,Bachelor of Science (Hons) | NUS 2009,Science
Bachelor of Business Administration,NUS Business School,0.845,2677,2500,2200,2700,NUS,2009,No,NUS GES 2009,Bachelor of Business Administration | NUS 2009,Administration
Bachelor of Business Administration (Hons),NUS Business School,0.921,3389,3000,2600,3600,NUS,2009,No,NUS GES 2009,Bachelor of Business Administration (Hons) | NUS 2009,Administration (Hons)
Bachelor of Business Administration (Accountancy),NUS Business School,0.971,2448,2400,2400,2500,NUS,2009,No,NUS GES 2009,Bachelor of Business Administration (Accountancy) | NUS 2009,Administration (Accountancy)
Bachelor of Business Administration (Accountancy) (Hons),NUS Business School,0,0,0,0,0,NUS,2009,Suppressed,NUS GES 2009,Bachelor of Business Administration (Accountancy) (Hons) | NUS 2009,Administration (Accountancy) (Hons)
Bachelor of Computing,School of Computing,0.769,2841,2800,2500,3000,NUS,2009,No,NUS GES 2009,Bachelor of Computing | NUS 2009,Computing
Bachelor of Computing (Communications & Media),School of Computing,0.708,2536,2650,2000,3000,NUS,2009,No,NUS GES 2009,Bachelor of Computing (Communications & Media) | NUS 2009,Communications & Media
Bachelor of Computing (Computational Biology),School of Computing,0,0,0,0,0,NUS,2009,Suppressed,NUS GES 2009,Bachelor of Computing (Computational Biology) | NUS 2009,Computational Biology
Bachelor of Computing (Computer Engineering),School of Computing,0.957,2890,2800,2500,3300,NUS,2009,No,NUS GES 2009,Bachelor of Computing (Computer Engineering) | NUS 2009,Computer Engineering
Bachelor of Computing (Computer Science),School of Computing,0.891,2970,2900,2700,3290,NUS,2009,No,NUS GES 2009,Bachelor of Computing (Computer Science) | NUS 2009,Computer Science
Bachelor of Computing (Electronic Commerce),School of Computing,0.825,2774,2700,2450,3000,NUS,2009,No,NUS GES 2009,Bachelor of Computing (Electronic Commerce) | NUS 2009,Electronic Commerce
Bachelor of Computing (Information Systems),School of Computing,0.911,2918,2975,2600,3250,NUS,2009,No,NUS GES 2009,Bachelor of Computing (Information Systems) | NUS 2009,Information Systems
Bachelor of Arts (Industrial Design),School of Design & Environment,0,0,0,0,0,NUS,2009,Suppressed,NUS GES 2009,Bachelor of Arts (Industrial Design) | NUS 2009,Industrial Design
Bachelor of Science (Building),School of Design & Environment,0,0,0,0,0,NUS,2009,Suppressed,NUS GES 2009,Bachelor of Science (Building) | NUS 2009,Building
Bachelor of Science (Project & Facilities Management),School of Design & Environment,0,0,0,0,0,NUS,2009,Suppressed,NUS GES 2009,Bachelor of Science (Project & Facilities Management) | NUS 2009,Project & Facilities Management
Bachelor of Science (Real Estate),School of Design & Environment,0.879,2831,2600,2400,3000,NUS,2009,No,NUS GES 2009,Bachelor of Science (Real Estate) | NUS 2009,Real Estate
