Qualification,Faculty,Full-Time Permanent Employment Rate,Gross Monthly Salary ($) Mean,Gross Monthly Salary ($) Median,Gross Monthly Salary ($) 25th Percentile,Gross Monthly Salary ($) 75th Percentile,Institution,Year of Survey,Data Suppression,Sources,"(Charts) GROUP BY Qualification, Institution & Year of Survey",modified_qual
Bachelor of Engineering with Honours in Information & Communications Technology (Software Engineering),Singapore Institute of Technology,0.98,5215,5000,4590,5500,SIT,2021,No,SIT GES 2021,Bachelor of Engineering with Honours in Information & Communications Technology (Software Engineering) | SIT 2021,in Information & Communications Technology (Software Engineering) with Honours
Bachelor of Engineering with Honours in Aircraft Systems Engineering,Singapore Institute of Technology,0.917,3394,3300,2500,4000,SIT,2021,No,SIT GES 2021,Bachelor of Engineering with Honours in Aircraft Systems Engineering | SIT 2021,in Aircraft Systems Engineering with Honours
Bachelor of Engineering with Honours in Pharmaceutical Engineering,Singapore Institute of Technology,0.879,3736,3600,3300,4000,SIT,2021,No,SIT GES 2021,Bachelor of Engineering with Honours in Pharmaceutical Engineering | SIT 2021,in Pharmaceutical Engineering with Honours
Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Building Services),Singapore Institute of Technology,0.961,3773,3680,3500,3950,SIT,2021,No,SIT GES 2021,Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Building Services) | SIT 2021,in Sustainable Infrastructure Engineering (Building Services) with Honours
Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Land),Singapore Institute of Technology,0.889,3788,3700,3485,4250,SIT,2021,No,SIT GES 2021,Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Land) | SIT 2021,in Sustainable Infrastructure Engineering (Land) with Honours
Bachelor of Engineering with Honours in Telematics (Intelligent Transportation Systems Engineering),Singapore Institute of Technology,0.85,4146,4000,3850,4500,SIT,2021,No,SIT GES 2021,Bachelor of Engineering with Honours in Telematics (Intelligent Transportation Systems Engineering) | SIT 2021,in Telematics (Intelligent Transportation Systems Engineering) with Honours
Bachelor of Hospitality Business with Honours,Singapore Institute of Technology,0.803,3216,3000,2800,3500,SIT,2021,No,SIT GES 2021,Bachelor of Hospitality Business with Honours | SIT 2021,Hospitality Business with Honours
Bachelor of Science (Diagnostic Radiography),Singapore Institute of Technology,1,3880,3700,3500,4025,SIT,2021,No,SIT GES 2021,Bachelor of Science (Diagnostic Radiography) | SIT 2021,Diagnostic Radiography
Bachelor of Science (Occupational Therapy),Singapore Institute of Technology,0.983,3546,3500,3400,3690,SIT,2021,No,SIT GES 2021,Bachelor of Science (Occupational Therapy) | SIT 2021,Occupational Therapy
Bachelor of Science (Radiation Therapy),Singapore Institute of Technology,1,3328,3500,3000,3500,SIT,2021,No,SIT GES 2021,Bachelor of Science (Radiation Therapy) | SIT 2021,Radiation Therapy
Bachelor of Engineering in Systems Engineering (ElectroMechanical Systems),SIT-DigiPen Institute of Technology,0.951,4402,4370,3700,4900,SIT,2021,No,SIT GES 2021,Bachelor of Engineering in Systems Engineering (ElectroMechanical Systems) | SIT 2021,Systems Engineering (ElectroMechanical Systems)
Bachelor of Food Technology with Honours,SIT-Massey University,0.891,3322,3300,3000,3500,SIT,2021,No,SIT GES 2021,Bachelor of Food Technology with Honours | SIT 2021,Food Technology with Honours
Bachelor of Engineering with Honours in Chemical Engineering,SIT-Newcastle University,0.642,3836,3700,3350,4200,SIT,2021,No,SIT GES 2021,Bachelor of Engineering with Honours in Chemical Engineering | SIT 2021,in Chemical Engineering with Honours
Bachelor of Engineering with Honours in Electrical Power Engineering,SIT-Newcastle University,0.845,3691,3600,3500,3850,SIT,2021,No,SIT GES 2021,Bachelor of Engineering with Honours in Electrical Power Engineering | SIT 2021,in Electrical Power Engineering with Honours
